name,category,nationality,nature,website,twitter,date_signed
"American Chamber of Commerce in Poland","private-sector","POL","Chambre de commerce","","",""
"American Chamber of Commerce in Romania","private-sector","ROM","Chambre de commerce","","",""
"American Chamber of Commerce in Slovakia","private-sector","SVK","Chambre de commerce","","",""
"American Chamber of Commerce in Slovenia","private-sector","SVN","Chambre de commerce","","",""
"American Chamber of Commerce in Switzerland","private-sector","CHE","Chambre de commerce","","",""
"American Chamber of Commerce in the Czech Republic","private-sector","CZE","Chambre de commerce","","",""
"American Chamber of Commerce in the Netherlands","private-sector","NLD","Chambre de commerce","","",""
"American Chamber of Commerce in Turkey","private-sector","TUR","Chambre de commerce","","",""
"American Chamber of Commerce of El Salvador","private-sector","SLV","Chambre de commerce","","",""
"American Chamber of Commerce of Mexico","private-sector","MEX","Chambre de commerce","","",""
"American Chamber of Commerce of the Dominican Republic","private-sector","DOM","","","","2019-12-11"
"American-Hellenic Chamber of Commerce","private-sector","USA","Chambre de commerce","","",""
"American Institute of Contemporary German Studies","civil-society","USA","Fondation ","","",""
"AMETIC","private-sector","ESP","Association professionnelle ","","",""
"Anand and Anand","private-sector","IND","Entreprise","","","2019-11-12"
"Anant National University","civil-society","IND","Université","","",""
"AnchorFree","private-sector","USA","Entreprise","","",""
"Andersen Tax & Legal","private-sector","ESP","","https://www.andersentaxlegal.es","Andersen Tax &amp; Legal, Spain (@AndersenTL_ES)","2020-03-25"
"Andorre","state","AND","","","",""
"ANETIE","private-sector","PRT","Association professionnelle ","","",""
"Ankara 112 Prehospital Emergency Health Service","public-authority","TUR","","","","2019-11-14"
"Anomali","private-sector","USA","Entreprise","","",""
"Anra","private-sector","ITA","Entreprise","","",""
"ANSSI Romania","civil-society","ROM","Organisation à but non lucratif","","",""
"Antiopea","private-sector","FRA","Entreprise","","",""
"Antoniou McCollum & Co.","private-sector","BTN","","https://amc.law","@AMCLaw_Cyprus","2019-12-15"
"Anudip Foundation of Social Welfare","civil-society","IND","Organisation à but non lucratif","","",""
"APAC, I.A.P Asociación Pro Personas con Parálisis Cerebral","civil-society","MEX","","https://apac.mx/","https://twitter.com/apacdf?ref_src=twsrc%5Egoogle%","2020-09-30"
"APCO Worldwide","private-sector","BEL","Entreprise","","",""
"Apesoft","private-sector","PER","Entreprise","","",""
"APPLiA","private-sector","BEL","Association professionnelle","https://applia-europe.eu/","@APPLiA_Europe","2020-06-30"
"Aquí Nadie Se Rinde, I.A.P.","civil-society","MEX","","","",""
"Archive360","private-sector","USA","Entreprise","","",""
"Argentine","state","ARG","","","",""
"AriadNEXT","private-sector","FRA","Entreprise","","",""
"Aristotle University of Thessaloniki (AUTH)","civil-society","GRC","Université","","",""
"ARM","private-sector","GBR","Entreprise","","",""
"Arménie","state","ARM","","","",""
"Ascendia S.A.","private-sector","ROM","Entreprise","","",""
"ASCENT Consulting","private-sector","FRA","Entreprise","","",""
"Ashoka University","civil-society","IND","Université","","",""
"Asia Cloud Computing Association (ACCA)","private-sector","SGP","Association professionnelle ","","",""
"Asia Cybersecurity Exchange (Asiacyberx)","private-sector","MYS","Entreprise","","",""
"Asia Pacific Network Information Centre (APNIC)","civil-society","AUS","Organisation à but non lucratif","","",""
"ASOBANCARIA","private-sector","COL","Entreprise","","",""
"Asociacion Chilena de Empresas de Technologias y de Informacion (ACTI)","private-sector","CHL","Association professionnelle ","","",""
"Asociación de Bancos del Perú","civil-society","PER","Centre de recherche","","",""
"Asociación de Constitucionalistas","civil-society","ESP","Fondation ","","",""
"Asociación de Empresas Eléctricas A.G.","private-sector","CHL","Association professionnelle ","","",""
"Asociación de Internet .MX","civil-society","MEX","Fondation ","","",""
"Asociación Mexicana de Industrias de Investigación Farmacéutica, A.C","private-sector","MEX","","","",""
"Asociación Nacional de Comercio Exterior (ANALDEX)","private-sector","COL","Chambre de commerce","","",""
"Asociación Panameña de Derecho y Nuevas Tecnologías ( APANDETEC)","civil-society","PAN","ONG","","",""
"Asociación Panameña de Peritos en Informática Forense (APPIF)","private-sector","PAN","Association professionnelle ","","",""
"ASPERTIC","private-sector","ESP","Association professionnelle ","","",""
"Asseco Software Nigeria","private-sector","NGA","","https://ng.asseco.com","https://twitter.com/assecong","2020-03-16"
"Associação Empresarial de Portugal (AEP)","private-sector","PRT","Association professionnelle ","","",""
"Associação Nacional de Jovens Empresários (ANJE)","private-sector","PRT","Association professionnelle ","","",""
"Associação Portuguesa de Software (ASSOFT)","private-sector","PRT","Association professionnelle ","","",""
"Associação Portuguesa para o Desenvolvimento das Comunicações (ADPC)","private-sector","PRT","Association professionnelle ","","",""
"Association des Professionnels de la Société de l’Information (APSI)","private-sector","LUX","Association professionnelle ","","",""
"Association française des juristes d’entreprise (AFJE)","private-sector","FRA","Association professionnelle ","","",""
"Association of British HealthTech Industries","private-sector","GBR","","","",""
"Association of Research-Based Pharmaceutical Companies (vfa)","private-sector","DEU","","","",""
"Association pour le Management des Risques et des Assurances de l’Entreprise (AMRAE)","private-sector","FRA","Association professionnelle ","","",""
"Association Suisse des Insurance et Risk Managers (SIRM)","private-sector","CHE","Association professionnelle ","","",""
"ASTREE SOLUTION","private-sector","FRA","Entreprise","","",""
"Astronautical Association of Malaysia (AstroX)","civil-society","MYS","Association","","",""
"Athena Research Center","civil-society","GRC","Centre de recherche","","",""
"Atlantic Council","civil-society","USA","Think tank","","",""
"Atlas Law Partners","private-sector","IND","Entreprise","","",""
"Atlassian","private-sector","AUS","Entreprise","","",""
"Atos","private-sector","FRA","Entreprise","","",""
"Australian Strategic Policy Institute","civil-society","AUS","Think tank","","",""
"Australie","state","AUS","","","",""
"authUSB","private-sector","ESP","","https://www.authusb.net","https://twitter.com/authusb","2019-11-26"
"Autriche","state","AUT","UE","","",""
"Avast","private-sector","CZE","Entreprise","","",""
"Awara IT","private-sector","RUS","Entreprise","","",""
"AXA","private-sector","FRA","Entreprise","","",""
"Axence","private-sector","POL","Entreprise","","",""
"Axians","private-sector","PRT","Entreprise","","",""
"AYECI Africa","civil-society","NGA","Organisation à but non lucratif","","",""
"B&B Abogados","private-sector","COL","Entreprise","","",""
"B-Hive","private-sector","BEL","Entreprise","","",""
"Baffin Bay Networks","private-sector","SWE","Entreprise","","",""
"Baitulmal Professional College","civil-society","MYS","université","","",""
"Balasys","private-sector","HUN","Entreprise","","",""
"Banco de Crédito BCP","private-sector","PER","Entreprise","","",""
"Banco del Bajio","private-sector","MEX","Entreprise","","",""
"Bank of Ireland Group","private-sector","IRL","Entreprise","","",""
"Banking and Payments Federation Ireland","private-sector","IRL","Association professionnelle ","","",""
"Bantay Konsumer, Kalsada, Kuryente (BK3)","civil-society","PHL","Organisation à but non lucratif","","",""
"Bartosik Svaby s.r.o.","private-sector","SVK","Entreprise","","",""
"B.Braun Medical","private-sector","HUN","","","",""
"BBVA","private-sector","ESP","","https://shareholdersandinvestors.bbva.com/","","2019-11-12"
"Belgique","state","BEL","UE","","",""
"Bessé","private-sector","FRA","Entreprise","","",""
"Best Business Travel SRL","private-sector","ROM","Entreprise","","",""
"Beta-i","private-sector","PRT","Entreprise","","",""
"Billennium","private-sector","POL","Entreprise","","",""
"Binary House","private-sector","SVK","Entreprise","","",""
"Bird & Bird","private-sector","CZE","Entreprise","","",""
"Bitdefender","private-sector","ROM","Entreprise","","",""
"Bitkom","private-sector","DEU","Association professionnelle ","","",""
"Bitkub group","private-sector","THA","Entreprise","","",""
"Bitso","private-sector","MEX","","https://bitso.com","@Bitso","2019-11-21"
"Bittium","private-sector","FIN","Entreprise","","",""
"BlackBerry Ltd","private-sector","CAN","","https://www.blackberry.com","@blackberry","2019-11-18"
"Black Cell ltd","private-sector","HUN","Entreprise","","",""
"Blanar & Partners s.r.o.","private-sector","SVK","Entreprise","","",""
"Blockchain for Europe","private-sector","BEL","Association professionnelle ","","",""
"Blue Science Park","civil-society","SWE","Association","","",""
"Bod Commune","public-authority","ROM","Collectivité locale","","",""
"BOMGAR","private-sector","FRA","Entreprise","","",""
"Bordeaux Institute of International Cybersecurity Studies (BIICS)","civil-society","FRA","Association","","",""
"Bosnie-Herzégovine","state","BIH","","","",""
"Ibotnoi","private-sector","THA","Entreprise","","",""
"BowerGroupAsia","private-sector","IDN","Entreprise","","",""
"Boyanov & Co.","private-sector","BGR","Entreprise","","",""
"Brasoftware Informática Ltda.","private-sector","BRA","Entreprise","","",""
"Brazilian Association of Software Companies","civil-society","BRA","Fédération","","",""
"Brisa Women Foundation","civil-society","NGA","Organisation à but non lucratif","","",""
"Brite Digital Co., LTD","private-sector","KHM","Entreprise","","",""
"BritishAmerican Business","private-sector","GBR","Association professionnelle ","","",""
"Broadband India Forum (BIF)","civil-society","IND","Think tank","","",""
"BSA | The Software Alliance","private-sector","USA","Association professionnelle ","","",""
"BT","private-sector","GBR","Entreprise","","",""
"Bulgarian Association of information Technologies (BAIT)","private-sector","BGR","Association professionnelle ","","",""
"Bulgarie","state","BGR","UE","","",""
"Bulpros","private-sector","BGR","Entreprise","","",""
"Bumrungrad International Hospital","private-sector","THA","","","",""
"Bundesdruckerei GmbH","private-sector","DEU","Entreprise","","",""
"Bundesverband Deutsche Startups","private-sector","DEU","Association professionnelle ","","",""
"Burkina","state","BFA","","","",""
"Business Continuity SpA","private-sector","CHL","Entreprise","","",""
"Business for Peace Foundation","civil-society","NOR","Fondation ","","",""
"BVDW","private-sector","DEU","Association professionnelle ","","",""
"CA Technologies","private-sector","USA","Entreprise","","",""
"Cabinet Vaughan Avocats","civil-society","FRA","Entreprise","","",""
"CAD R&D Centre PROGRESS","private-sector","BGR","Entreprise","","",""
"Cámara de Bancos e Instituciones Financieras de Costa Rica","civil-society","CRI","association","","",""
"Cambodge","state","KHM","","","","2020-02-27"
"Canada","state","CAN","","","",""
"Canadian Information Processing Society (CIPS)","private-sector","CAN","Association professionnelle ","","",""
"Canadian Institute for Cybersecurity (University of New Brunswick)","civil-society","CAN","Fondation ","","",""
"CAPA 8 Foundation","civil-society","ARG","","","","2019-12-23"
"Capgemini","private-sector","FRA","Entreprise","","",""
"Carbon Black","private-sector","USA","Entreprise","","",""
"CARE for AIDS Kenya","civil-society","KEN","Organisation à but non lucratif","","",""
"Carnegie Endowment for International Peace","civil-society","USA","Think tank","","",""
"Casa de la Amistad","civil-society","MEX","Association","","",""
"CASMU","private-sector","URY","","https://casmu.com.uy","@casmuoficial","2020-09-30"
"CECyF","civil-society","FRA","Centre de recherche","","",""
"CEC Government Relations","private-sector","POL","Entreprise","","",""
"Center for Complexity Science (C3) of the National University of Mexico (UNAM)","civil-society","MEX","Université","","",""
"Center for Cyber Security and International Relations Studies (CCSIRS) University of Florence","civil-society","ITA","université","","",""
"Center for Defence, Space and Security (CENSEC)","private-sector","DNK","Association professionnelle ","","",""
"Center for Democracy and Technology","civil-society","USA","Think tank","","",""
"Center for Digital Trust of the Swiss Federal Institute of Technology Lausanne (EPFL)","civil-society","CHE","","https://c4dt.epfl.ch","","2019-12-02"
"Center for Information Technology Research in the Interest of Society (CITRIS)","civil-society","USA","Centre de recherche","","",""
"Center for International Law and Governance, Fletcher School of Law and Diplomacy at Tufts University","civil-society","USA","Université","","",""
"Center For Long Term Cybersecurity (CLTC) (University of California, Berkeley)","civil-society","USA","Centre de recherche","","",""
"Center for Propaganda and Disinformation Analysis","civil-society","POL","Fondation ","","",""
"Centre d'Etudes sur la Sécurité Internationale et les Coopérations Européennes (CESICE)","civil-society","FRA","Centre de recherche","","",""
"Centre for European Policy Studies (CEPS)","civil-society","BEL","Think tank","","",""
"Centre for European Studies, UAIC Iasi","civil-society","ROM","Université","","",""
"Centre for International Relations (CSM)","civil-society","POL","Think tank","","",""
"Centre for Internet and Society, India","civil-society","IND","ONG","","",""
"Centre for Research, Advisory & Technology (CREATE)","civil-society","MYS","Centre de recherche","","",""
"Centro de Análisis para Políticas Públicas (CAPP)","civil-society","DOM","Organisation à but non lucratif","","",""
"Centro de Autonomía Personal y Social","civil-society","MEX","","","",""
"Centrum Medyczno-Diagnostyczne","private-sector","POL","","","",""
"CERT.LV","public-authority","LVA","Opérateur","","",""
"CEST","civil-society","BRA","Université","","",""
"Chaire Castex de cyberstratégie de l’IHEDN","civil-society","FRA","Centre de recherche","","",""
"Chaire Jean Monnet sur les Relations franco-allemandes, l’intégration européenne et la mondialisation -Grenoble","civil-society","FRA","Université","","",""
"Chalkida","public-authority","GRC","Collectivité locale","","",""
"Chambers Ireland","private-sector","IRL","Association professionnelle ","","",""
"Change Fusion","civil-society","THA","ONG","","",""
"Charity Navigator","private-sector","USA","Entreprise","","",""
"Chase India","private-sector","IND","Entreprise","","",""
"Chilean Institute of Law and Technologies","civil-society","CHL","","","",""
"Chili","state","CHL","","","",""
"Chypre","state","CYP","UE","","",""
"Cigref","private-sector","FRA","Association professionnelle ","","",""
"CIMB","private-sector","MYS","Entreprise","","",""
"Circulo de Empresarios","civil-society","ESP","","https://circulodeempresarios.org/en/","@circulodeempresa","2019-11-18"
"CIRCULO INFORMATTICA, S.A. DE C.V. (MATTICA)","private-sector","COL","Entreprise","","",""
"CISObeat","civil-society","PER","Association","","",""
"Cisco","private-sector","USA","Entreprise","","",""
"Citalid","private-sector","FRA","Entreprise","","",""
"Citigroup","private-sector","GBR","Entreprise","","",""
"CitizenWatch Philippines","civil-society","PHL","Organisation à but non lucratif","","",""
"City of Huntington, West Virginia","public-authority","USA","Collectivité locale","","",""
"City of Louisville, Kentucky","public-authority","USA","Collectivité locale","","",""
"Clifford Chance CIS Limited","private-sector","RUS","Entreprise","","",""
"Cloudflare","private-sector","USA","Entreprise","","",""
"Club des experts de la sécurité de l'information et du numérique (CESIN)","private-sector","FRA","Association professionnelle ","","",""
"CLUSIF","private-sector","FRA","Association professionnelle ","","",""
"CMAI Association of India","private-sector","IND","Association professionnelle ","","",""
"CMS Law","private-sector","HUN","Entreprise","","",""
"#cnetz","civil-society","DEU","Think tank","","",""
"CNIL","public-authority","FRA","Autorité indépendante","","",""
"COAI","civil-society","IND","ONG","","",""
"Code for Change South Africa","civil-society","ZAF","Organisation à but non lucratif","","",""
"CodeVA","civil-society","USA","Organisation à but non lucratif","","",""
"CoderDojo Bucuresti","civil-society","ROM","Association","","",""
"Cognizant","private-sector","USA","Entreprise","","",""
"Colombian Chamber of Electronic Commerce","private-sector","COL","Chambre de commerce","","",""
"Colombian Chamber of IT & Telecom (CCIT)","private-sector","COL","Association professionnelle ","","",""
"Colombie","state","COL","","","",""
"COMACSA","private-sector","PER","Entreprise","","",""
"Comision Nacional de Telecomunicaciones","public-authority","HND","Organisme public","","",""
"Commerzbank","private-sector","BEL","Entreprise","","",""
"Commonwealth of Virginia","public-authority","USA","Etat fédéré","","",""
"Compagnie Européenne d'Intelligence Stratégique (CEIS)","private-sector","FRA","Entreprise","","",""
"Compagnie Régionale des Commissaires aux Comptes de Colmar","private-sector","FRA","Association professionnelle ","","",""
"Competitive Brazil Movement (MBC)","civil-society","BRA","Organisation à but non lucratif","","",""
"Compu-Mark","private-sector","HUN","Entreprise","","",""
"CompuSoluciones y Asociados","private-sector","MEX","Entreprise","","",""
"Computer Revolution Africa Group","private-sector","KEN","Entreprise","","",""
"Comtrade Solutions","private-sector","SVN","Entreprise","","",""
"Confederação Empresarial de Portugal (CIP)","private-sector","PRT","Association professionnelle ","","",""
"Confederation of Danish Industry (DI)","private-sector","DNK","Association professionnelle ","","",""
"Confederation of Finnish Industries","private-sector","FIN","Association professionnelle ","","",""
"Confederation of Indian Indistry","private-sector","IND","Association professionnelle ","","",""
"Congo","state","COG","","","",""
"Connecting Trust","private-sector","DEU","Entreprise","","",""
"Conseil National du Numérique","public-authority","FRA","Commission consultative","","",""
"Construction Industry Federation (CIF)","private-sector","IRL","Association professionnelle ","","",""
"Contrast Security","private-sector","USA","Entreprise","","",""
"Convergence Partners","private-sector","ZAF","Entreprise","","",""
"Cordell Institute for Policy in Medicine and Law","civil-society","USA","Université","","",""
"Corée du Sud","state","KOR","","","",""
"Cork Institute of Technology (CIT)","civil-society","IRL","Université","","",""
"Costa Group","private-sector","ITA","Entreprise","","",""
"CREOpoint","private-sector","USA","","","",""
"Crète","public-authority","GRC","Collectivité locale","","",""
"Cris Réseaux","private-sector","FRA","","https://www.cris-reseaux.com/","@Cris_Reseaux","2020-01-30"
"Croatie","state","HRV","UE","","",""
"CRY- Child Rights And You","civil-society","IND","Association","","",""
"Cryptelo","private-sector","CZE","Entreprise","","","2019-11-12"
"CTV","private-sector","FRA","Entreprise","","",""
"Cursor Insight","private-sector","HUN","Entreprise","","",""
"CyRadar Information Security Joint Stock Company","private-sector","VNM","Entreprise","","",""
"Cyber4U","private-sector","FRA","","https://www.cyber4u.fr","","2020-03-31"
"Cyber Adapt","private-sector","USA","Entreprise","","",""
"Cyber Czar","civil-society","ZAF","","","",""
"Cyber Ireland","private-sector","IRL","Entreprise","","",""
"CyberLand, Innlandet County, Norway","public-authority","NOR","","https://www.cyberland.no","N/A","2019-11-18"
"CyberLaw Center at Korea University","civil-society","KOR","Université","","",""
"Cyber Law International","private-sector","USA","Entreprise","","",""
"CyberPeace Institute","civil-society","CHE","","https://cyberpeaceinstitute.org/","@CyberpeaceInst","2020-04-22"
"CyberRx Inc","private-sector","USA","Entreprise","","",""
"CyberSafeIreland","civil-society","IRL","Organisation à but non lucratif","","",""
"Cyber Security Coalition","civil-society","BEL","Think tank","","",""
"Cyber Services","private-sector","HUN","Entreprise","","",""
"CyberTaskForce","private-sector","FRA","","https://cybertaskforce.fr","Cyber_TaskForce","2020-01-06"
"Cyber Test Systems","private-sector","FRA","Entreprise","","",""
"Cybereason","private-sector","USA","Entreprise","","",""
"Cyberjobs.fr / Eden Forums","private-sector","FRA","Entreprise","","",""
"Cybernetica","private-sector","EST","Entreprise","","",""
"Cyberus Labs","private-sector","POL","Entreprise","","",""
"Cyberwayfinder","civil-society","BEL","ONG","","",""
"CymbiQ Group AG","private-sector","DEU","Entreprise","","",""
"Cyprus Cybersecurity Organization (CyCSO)","private-sector","CYP","Entreprise","","",""
"Cyrating","private-sector","FRA","Entreprise","","",""
"Czech Telecommunication Office","public-authority","CZE","Autorité indépendante","","",""
"D&D International - Digital Democracy","civil-society","PER","Fondation ","","",""
"Daanish School Boys Chishtian","civil-society","PAK","Ecole","","",""
"Daimler Group","private-sector","DEU","Entreprise","","",""
"Danemark","state","DNK","UE","","",""
"Danish Chamber of Commerce","private-sector","DNK","Chambre de commerce","","",""
"Danish ICT Industry Association","private-sector","DNK","Association professionnelle ","","",""
"Danmission","civil-society","DNK","ONG","","",""
"Das Progressive Zentrum","civil-society","DEU","Think tank","","",""
"Dashlane","private-sector","FRA","Entreprise","","",""
"DataAI","private-sector","GBR","","https://www.dataai.uk","@no","2020-06-20"
"Data Exchange Agency","public-authority","GEO","","https://www.dea.gov.ge","","2020-01-30"
"Data Security Council of India (DSCI)","private-sector","IND","Association professionnelle ","","",""
"Datarisk Canada","private-sector","CAN","Entreprise","","",""
"Datastax","private-sector","USA","Entreprise","","",""
"DeNA","private-sector","JPN","","https://dena.com/intl/","N/A","2019-12-09"
"Decadia GmbH","private-sector","DEU","Entreprise","","",""
"DECO PROTESTE","civil-society","PRT","Association","","",""
"Dell","private-sector","USA","Entreprise","","",""
"Dell Technologies","private-sector","USA","Entreprise","","",""
"Democracy Watch Philippines","civil-society","PHL","Association","","",""
"Der Mittelstand. BVMW","private-sector","DEU","Association professionnelle ","","",""
"Design 4 Democracy Coalition (D4D)","civil-society","USA","Organisation à but non lucratif","","","2019-11-12"
"DesignIT International","civil-society","NGA","","https://web.archive.org/web/20090105234050/http://www.knowledgehouseafrica.org/history.php","@designithq","2019-12-13"
"Deutsche Bank AG","private-sector","DEU","Entreprise","","",""
"Deutsche Post DHL Group","private-sector","DEU","Entreprise","","",""
"Deutsche Telekom","private-sector","DEU","Entreprise","","",""
"Deutschland sicher im Netz e. V. (DsiN)","private-sector","DEU","Association professionnelle ","","",""
"Digify Africa","private-sector","ZAF","Entreprise","","",""
"Digital Center de la Toulouse School of Economics","civil-society","FRA","Université","","",""
"Digital Citizens Romania","civil-society","ROM","Think tank","","",""
"Digital Empowerment Foundation","civil-society","IND","Fondation ","","",""
"DigitalES","private-sector","ESP","Association professionnelle ","","",""
"Digital Fingerprints","private-sector","POL","Entreprise","","",""
"Digital Gateway to Europe","private-sector","NLD","Association professionnelle ","","",""
"Digital Infrastructure Association Netherlands (DINL)","private-sector","NLD","Association professionnelle ","","",""
"Digital National Alliance","private-sector","BGR","","https://www.digitalalliance.bg/","https://twitter.com/dna_bg?lang=en","2020-07-09"
"Digital Peers International","civil-society","NGA","Organisation à but non lucratif","","",""
"Digital Poland Foundation","civil-society","POL","Fondation ","","",""
"Digital Security","private-sector","FRA","Entreprise","","",""
"DIGITALEUROPE","private-sector","BEL","Association professionnelle ","","",""
"digitalswitzerland","civil-society","CHE","Organisation à but non lucratif","","",""
"Divisas San Jorge Casa de Cambio","private-sector","MEX","Entreprise","","",""
"DNB","private-sector","NOR","","https://www.dnb.no","dnb_bank","2019-11-18"
"Docusign","private-sector","USA","Entreprise","","",""
"Domański Zakrzewski Palinka","private-sector","POL","Entreprise","","",""
"DREN & ROVŠEK","private-sector","SVN","Entreprise","","",""
"DROG - Bad News","civil-society","NLD","Centre de recherche","","",""
"Drogueria del Sud","private-sector","ARG","","","",""
"Drzavljan D","civil-society","SVN","ONG","","",""
"Dublin Chamber of Commerce","private-sector","IRL","Chambre de commerce","","",""
"Dublin City University","civil-society","IRL","Université","","",""
"Dutch Data Center Association","private-sector","NLD","Association professionnelle ","","",""
"E-Civis Association","civil-society","ROM","","","",""
"eNET Internet Research and Consulting Ltd.","private-sector","HUN","Entreprise","","",""
"ePaństwo Foundation","civil-society","POL","Fondation ","","",""
"EastWest Institute","civil-society","USA","ONG","","",""
"EBRC","private-sector","LUX","Entreprise","","",""
"EBRC – European Business Reliance Centre","private-sector","LUX","Entreprise","","",""
"Eco - Association of the Internet Industry","private-sector","DEU","Association professionnelle ","","",""
"Economic and Social Research Institute (ESRI)","civil-society","IRL","Centre de recherche","","",""
"economiesuisse","private-sector","CHE","Association professionnelle ","","",""
"EDP - Energias de Portugal","private-sector","PRT","Entreprise","","",""
"Education Quality Foundation of India (EQFI)","civil-society","IND","Organisation à but non lucratif","","",""
"EGERIE","private-sector","FRA","","https://www.egerie.eu","@EGERIEsoftware","2020-03-19"
"EGERIE Software","private-sector","FRA","Entreprise","","",""
"EGRITOS GROUP - SYNERGASIA S.A.","private-sector","GRC","Entreprise","","",""
"EHTEL Association","civil-society","BEL","","https://ehtel.eu","@ehtel_ehealth","2020-10-05"
"El-Borai & Partners Law Firm","private-sector","EGY","Entreprise","","",""
"El Colegio de Abogados y Abogadas de Costa Rica","private-sector","CRI","Association professionnelle ","","",""
"Elcano Royal Institute","civil-society","ESP","Think tank","","",""
"Elets Technomedia Pvt Ltd","private-sector","IND","Entreprise","","",""
"Eleven Eleven Twelve Foundation","civil-society","NGA","Fondation ","","",""
"EMC Piaseczno","private-sector","POL","","","",""
"EMC Instytut Medyczny","private-sector","POL","","","",""
"Émirats Arabes Unis","state","ARE","","","",""
"Encryption Europe","private-sector","LUX","","https://www.encryptioneurope.eu/","@EncryptEurope","2020-03-02"
"ENEDIS","private-sector","FRA","Entreprise","","",""
"Enel","private-sector","ITA","Entreprise","","",""
"EnergyPact Foundation","civil-society","AUT","","https://www.energypact.org","0","2019-11-14"
"Energy Policy Group (EPG)","civil-society","ROM","Think tank","","",""
"Engie","private-sector","FRA","Entreprise","","",""
